param_set,room,room_id,test_accuracy,f1,recall,precision,r2,mae,rmse,smape,confidence,winner_model,lstm_weight_pct,lgb_weight_pct,xgb_weight_pct,train_size,test_size
A,2C05-06,443,0.773,0.7662,0.773,0.8037,0.4398,1.7419,2.8399,,,xgboost,0.0,0.0,100.0,4949,3101
A,2C09,445,0.87,0.8558,0.87,0.8595,0.5473,1.2948,2.2345,,,lightgbm,0.0,100.0,0.0,4949,3101
A,2C10-11,446,0.7533,0.7319,0.7533,0.7506,0.5055,1.7164,2.6926,,,lightgbm,0.0,100.0,0.0,4949,3101
A,2C16-17,447,0.7739,0.7689,0.7739,0.7737,0.4208,2.0072,3.0968,,,lightgbm,0.0,100.0,0.0,4949,3101
A,3C05-06,448,0.7136,0.6948,0.7136,0.7464,0.4491,1.8267,2.8373,,,xgboost,0.0,0.0,100.0,4865,3101
A,1C-MEETING,487,0.9865,0.9798,0.9865,0.9732,-1.3556,0.3925,0.86,,,xgboost,0.0,0.0,100.0,4067,2079
A,3C16-17,505,0.7378,0.7423,0.7378,0.7851,0.4623,2.2626,3.4658,,,xgboost,0.0,0.0,100.0,4837,3101
A,4C05,506,0.8158,0.744,0.8158,0.6893,-0.2007,1.2392,2.2095,,,xgboost,0.0,0.0,100.0,4837,3143
B,2C05-06,443,0.7652,0.7545,0.7652,0.8123,0.5431,1.4952,2.5649,,,xgboost,0.0,0.0,100.0,4949,3101
B,2C09,445,0.8581,0.8336,0.8581,0.8536,0.5609,1.2549,2.2006,,,xgboost,0.0,0.0,100.0,4949,3101
B,2C10-11,446,0.751,0.7353,0.751,0.7543,0.4964,1.6828,2.7174,,,lightgbm,0.0,100.0,0.0,4949,3101
B,2C16-17,447,0.7704,0.7468,0.7704,0.797,0.4471,1.9705,3.0258,,,xgboost,0.0,0.0,100.0,4949,3101
B,3C05-06,448,0.7478,0.731,0.7478,0.7555,0.5641,1.541,2.5239,,,lightgbm,0.0,100.0,0.0,4865,3101
B,1C-MEETING,487,0.9865,0.9798,0.9865,0.9732,-0.4378,0.256,0.6719,,,lightgbm,0.0,100.0,0.0,4067,2079
B,3C16-17,505,0.7369,0.7438,0.7369,0.799,0.5395,2.0241,3.2075,,,lightgbm,0.0,100.0,0.0,4837,3101
B,4C05,506,0.8091,0.7405,0.8091,0.6854,-0.254,1.2995,2.2579,,,lightgbm,0.0,100.0,0.0,4837,3143
C,2C05-06,443,0.7939,0.7889,0.7939,0.8204,0.5557,1.5377,2.5293,,,xgboost,0.0,0.0,100.0,4949,3101
C,2C09,445,0.8781,0.8606,0.8781,0.8727,0.6063,1.2504,2.0838,,,lightgbm,0.0,100.0,0.0,4949,3101
C,2C10-11,446,0.7685,0.7516,0.7685,0.7777,0.5328,1.7245,2.6173,,,xgboost,0.0,0.0,100.0,4949,3101
C,2C16-17,447,0.7575,0.754,0.7575,0.7639,0.4327,1.9753,3.0648,,,lightgbm,0.0,100.0,0.0,4949,3101
C,3C05-06,448,0.7591,0.7401,0.7591,0.7707,0.5923,1.518,2.4409,,,lightgbm,0.0,100.0,0.0,4865,3101
C,1C-MEETING,487,0.9865,0.9798,0.9865,0.9732,-0.6085,0.306,0.7106,,,lightgbm,0.0,100.0,0.0,4067,2079
C,3C16-17,505,0.7491,0.7697,0.7491,0.8228,0.5647,1.9434,3.1185,,,lightgbm,0.0,100.0,0.0,4837,3101
C,4C05,506,0.8091,0.7406,0.8091,0.6872,-0.176,1.2943,2.1866,,,lightgbm,0.0,100.0,0.0,4837,3143
D,2C05-06,443,0.7801,0.7757,0.7801,0.8038,0.5199,1.5877,2.6291,,,lightgbm,0.0,100.0,0.0,4949,3101
D,2C09,445,0.8504,0.8365,0.8504,0.8371,0.6005,1.2755,2.0991,,,lightgbm,0.0,100.0,0.0,4949,3101
D,2C10-11,446,0.7614,0.7539,0.7614,0.7688,0.4946,1.7663,2.722,,,lightgbm,0.0,100.0,0.0,4949,3101
D,2C16-17,447,0.7652,0.7601,0.7652,0.7718,0.4415,2.0501,3.0411,,,xgboost,0.0,0.0,100.0,4949,3101
D,3C05-06,448,0.7717,0.7541,0.7717,0.7822,0.5887,1.6327,2.4518,,,xgboost,0.0,0.0,100.0,4865,3101
D,1C-MEETING,487,0.9663,0.9696,0.9663,0.973,-1.1611,0.49,0.8237,,,lightgbm,0.0,100.0,0.0,4067,2079
D,3C16-17,505,0.7259,0.744,0.7259,0.8036,0.519,2.1332,3.2779,,,lightgbm,0.0,100.0,0.0,4837,3101
D,4C05,506,0.7957,0.7338,0.7957,0.6854,-0.1224,1.3641,2.1362,,,lightgbm,0.0,100.0,0.0,4837,3143
